.08,11.34
1.10,0.31,11.61
1.14,0.31,11.34
1.14,0.12,11.10
1.18,0.24,11.18
1.18,0.39,11.34
1.02,0.27,11.34
1.10,0.12,11.45
1.49,-0.43,12.67
0.75,0.00,11.61
1.29,-0.12,10.75
0.86,0.47,11.69
1.26,0.63,9.96
1.45,0.63,11.41
1.45,0.39,10.98
1.33,0.43,10.83
1.26,0.27,10.59
1.02,0.12,11.65
0.86,0.04,11.45
1.06,-0.24,12.63
1.22,0.04,11.30
1.45,0.31,10.94
1.10,0.39,11.77
1.06,0.59,10.98
1.26,0.67,11.77
1.22,0.39,10.83
1.02,0.24,11.10
1.06,0.27,11.34
1.14,0.04,11.92
1.29,-0.12,11.30
1.29,0.47,10.40
1.10,0.51,11.06
1.10,0.27,11.22
1.18,0.16,11.53
1.10,0.27,11.22
1.18,0.39,10.83
1.10,0.31,11.18
1.18,0.35,11.30
1.02,0.27,11.57
1.14,-0.04,12.16
1.06,0.24,11.53
1.10,0.24,11.14
1.06,0.43,11.49
1.06,0.35,11.06
1.10,0.35,11.45
1.06,0.43,11.18
0.94,0.35,10.90
1.26,0.08,11.77
1.18,0.20,11.30
1.22,-0.08,11.77
1.18,0.24,11.61
1.14,0.24,10.98
1.02,0.47,10.79
1.02,0.16,11.41
1.06,0.24,11.81
1.26,0.24,11.26
0.98,0.00,11.73
1.14,0.31,11.22
1.02,0.27,11.02
1.22,0.39,11.22
1.10,0.04,11.26
1.06,0.43,11.49
1.14,0.43,10.98
1.14,0.39,10.90
1.02,0.35,11.06
1.14,0.12,11.45
1.06,0.27,11.65
0.98,0.20,11.49
1.18,0.43,11.10
1.10,0.43,11.45
1.26,0.20,11.10
1.22,0.39,11.22
1.10,0.39,11.10
1.06,0.39,10.94
1.26,0.24,11.53
1.14,0.20,11.26
1.02,0.20,11.53
1.22,0.27,11.14
1.22,-0.12,11.61
1.14,0.47,11.18
1.18,-0.08,12.08
1.14,0.67,10.32
1.06,0.55,11.10
1.02,-0.12,11.30
1.49,0.16,10.87
1.33,0.59,11.77
0.71,-0.08,12.16
1.33,-0.27,12.36
1.10,-0.27,11.85
0.98,0.24,11.65
1.26,0.31,11.10
1.02,0.08,11.65
1.14,0.16,10.94
1.14,0.20,10.98
1.06,0.27,11.38
1.18,0.24,11.34
1.14,-0.12,11.45
1.10,0.12,11.77
1.06,0.43,11.26
1.14,0.27,11.26
1.06,0.04,11.41
1.22,0.16,11.38
1.02,0.12,11.30
1.10,0.20,11.06
1.02,-0.08,11.45
1.06,0.08,10.90
0.90,0.24,12.43
1.18,-0.16,11.89
1.18,0.20,11.73
1.22,0.27,11.10
1.14,0.12,11.65
1.14,-0.04,11.06
1.26,0.16,11.41
1.06,0.43,10.87
1.18,0.04,10.98
1.22,0.16,11.22
1.14,0.31,11.34
1.10,0.20,11.18
1.14,0.31,11.45
1.10,0.24,11.34
