24,11.18
1.10,0.47,10.90
1.06,0.27,11.38
1.06,0.12,11.41
1.18,0.08,11.34
1.26,0.35,10.98
1.14,0.31,11.45
1.06,0.51,10.75
1.29,0.08,11.06
1.14,0.20,11.65
1.29,0.35,11.49
1.14,0.16,11.30
0.86,0.39,11.49
1.14,0.67,11.34
1.10,0.16,11.38
1.33,0.08,11.18
1.06,-0.08,11.61
1.10,0.39,11.10
1.10,0.55,10.87
1.26,0.31,10.98
1.06,0.20,11.26
1.10,0.00,11.61
1.14,0.27,11.10
1.18,0.39,11.18
1.10,0.12,11.22
1.22,0.43,11.45
1.26,0.24,11.10
1.29,-0.04,11.65
1.41,0.31,10.90
1.29,0.20,11.30
1.06,0.27,11.57
1.10,0.47,11.10
1.18,0.39,10.94
1.02,0.12,11.30
0.94,0.43,11.49
0.90,0.47,11.30
1.10,0.51,11.18
1.06,0.27,11.10
1.18,0.39,11.18
1.18,0.47,11.18
1.14,0.24,11.10
1.02,0.47,11.30
1.22,0.24,11.53
1.33,0.16,11.06
1.18,-1.61,17.81
1.06,0.90,8.36
1.45,1.41,8.55
1.26,-1.37,12.71
0.71,-0.16,14.44
0.90,-0.24,13.85
1.33,1.65,7.73
1.18,0.55,10.63
1.26,0.31,11.10
0.98,-0.04,11.49
1.33,0.39,10.83
1.22,0.59,10.43
1.18,0.67,10.40
1.10,-0.12,10.36
1.06,0.31,11.77
1.22,0.04,11.69
1.14,0.04,11.89
1.33,0.47,10.16
1.22,0.35,10.51
1.18,0.35,10.87
1.02,0.31,11.38
1.33,0.12,11.14
0.98,0.16,11.81
1.14,0.71,10.55
1.22,0.51,10.59
1.02,0.51,10.90
1.22,0.27,11.22
1.06,0.55,10.32
1.10,0.12,11.77
1.26,0.59,10.90
1.06,0.43,11.18
1.33,0.51,10.87
1.14,0.24,10.98
1.18,0.20,11.14
1.14,0.16,11.41
1.10,0.20,11.38
1.10,0.31,11.22
1.22,0.27,10.94
1.06,0.20,11.69
1.06,0.67,10.83
1.10,0.08,11.73
1.29,0.27,11.10
1.14,0.12,11.57
1.26,0.51,11.06
0.90,0.39,10.67
1.22,0.67,10.47
1.02,0.16,11.57
1.06,0.27,11.14
1.02,0.20,11.69
1.06,0.39,11.22
1.18,0.51,10.67
1.22,0.12,11.53
1.10,0.35,11.34
1.14,0.16,11.69
1.18,0.35,11.18
1.10,0.35,11.34
1.10,0.39,11.06
1.14,0.16,11.34
1.18,0.24,11.14
1.29,0.27,10.98
1.26,0.35,10.59
1.14,0.24,10.90
1.22,0.35,11.10
0.98,0.20,11.53
1.10,0.16,11.22
1.10,0.20,11.22
1.10,0.47,10.98
1.10,0.20,11.30
1.10,0.31,10.94
1.18,0.39,10.94
1.29,0.43,11.02
1.06,0.20,11.34
1.10,0.16,11.49
1.10,0.27,11.49
1.10,0.35,11.22
1.14,0.35,11.02
