,0.08,11.41
1.10,0.24,11.22
1.02,0.43,11.26
1.18,0.27,11.14
1.10,0.27,11.02
1.14,0.24,11.02
1.14,0.20,11.45
1.14,0.16,11.34
1.10,0.08,11.34
1.10,0.20,11.38
1.18,0.24,11.34
1.10,0.24,11.18
1.22,0.27,11.10
1.10,0.12,11.41
1.10,0.39,11.02
1.06,0.27,11.41
1.18,0.31,11.85
1.02,0.71,11.26
1.02,0.12,11.41
1.10,0.16,11.30
1.10,0.55,11.06
1.22,0.16,11.34
1.18,0.35,11.14
1.06,0.82,11.53
1.10,0.55,10.75
1.06,-0.04,11.10
1.22,0.24,11.45
1.06,0.20,11.85
1.10,0.35,11.30
1.18,0.24,10.79
1.14,0.47,10.90
1.06,0.12,11.49
1.10,0.35,11.41
1.18,0.31,11.06
1.10,0.27,11.34
1.10,0.35,10.87
1.06,0.27,11.45
1.02,0.20,11.30
0.67,-0.04,11.14
0.71,0.71,11.14
1.65,0.20,11.38
1.37,0.59,10.98
1.29,0.08,11.57
1.18,0.59,11.53
1.29,0.27,10.90
0.90,0.16,11.14
0.98,0.24,11.41
1.14,0.59,11.30
1.10,0.12,11.65
1.10,0.39,11.18
1.02,0.35,11.02
1.14,0.04,11.65
1.10,0.24,11.38
1.10,0.43,11.49
1.10,0.94,10.00
1.22,0.78,10.20
1.06,0.08,11.02
1.14,0.39,11.49
1.06,0.20,11.85
1.26,0.12,11.38
0.94,0.31,11.69
1.14,0.24,11.69
1.14,0.04,11.45
1.14,0.43,10.87
1.06,0.16,11.14
1.10,0.24,11.22
1.14,0.12,11.10
1.14,0.12,11.38
1.06,0.35,11.10
1.18,0.51,10.94
0.98,0.27,11.38
1.14,0.12,11.45
1.06,0.24,11.26
1.14,0.27,11.45
1.26,0.59,9.73
1.41,-0.59,12.91
1.22,0.04,11.89
0.98,0.35,11.22
1.53,0.43,9.22
1.41,0.43,11.10
0.90,0.08,11.92
1.14,0.35,10.98
1.29,0.43,10.71
0.98,0.04,11.61
1.14,0.00,11.65
1.06,0.39,11.26
1.06,0.20,11.41
1.18,0.16,11.57
1.02,0.47,11.41
1.14,0.08,11.41
1.10,0.31,11.06
1.18,0.20,10.94
1.10,0.16,11.22
1.18,0.08,11.22
1.10,0.20,11.18
1.14,0.35,11.57
1.02,0.04,11.77
1.06,0.27,10.63
1.06,-0.04,11.49
1.10,0.47,10.43
1.06,0.24,10.94
1.18,0.35,10.79
1.02,0.04,11.61
1.14,0.59,10.94
1.26,0.47,10.59
1.02,-0.08,11.81
1.10,0.67,11.14
1.10,0.39,11.45
1.14,0.12,11.85
1.18,0.39,10.59
1.18,0.04,11.41
1.06,0.04,11.65
1.14,0.51,10.59
1.02,0.20,11.69
1.18,0.24,10.94
1.10,0.31,11.22
1.14,0.24,11.10
1.22,0.16,11.02
1.29,0.39,10.75
1.06,0.59,11.34
