2,11.26
1.14,0.27,11.34
1.06,0.08,11.53
1.14,0.12,11.65
1.06,0.43,11.41
1.10,0.24,11.34
1.06,0.35,10.98
1.06,0.35,11.18
1.10,0.39,11.38
1.14,0.12,11.41
1.06,0.16,11.53
1.18,0.35,11.30
1.02,0.20,11.18
1.22,0.27,11.22
1.06,0.47,11.06
1.18,0.31,11.06
1.10,0.35,11.18
1.14,0.27,11.22
1.02,0.12,11.69
1.06,0.20,11.38
1.06,0.31,11.38
1.29,0.55,10.79
1.14,0.35,11.41
1.10,0.31,11.53
1.10,0.39,11.65
1.14,0.24,11.06
1.26,0.24,11.06
1.14,0.27,11.34
1.18,0.20,11.38
1.02,0.24,11.61
1.10,0.31,11.38
1.26,0.20,11.34
0.98,0.20,11.45
1.14,0.43,11.38
1.22,0.27,11.22
1.14,0.24,11.22
1.06,0.16,11.34
1.18,0.27,11.26
1.10,0.31,11.30
1.06,0.16,11.61
1.10,0.20,11.81
1.10,0.20,11.22
1.10,0.24,11.45
1.10,0.31,11.14
1.18,0.27,11.18
1.14,0.24,11.02
1.14,0.39,11.14
1.14,0.24,11.22
1.10,0.16,11.38
1.14,0.27,11.30
1.18,0.31,11.53
1.10,0.24,11.30
1.14,0.24,11.30
1.14,0.31,11.22
1.14,0.31,11.34
1.18,0.59,10.67
1.18,0.27,11.22
0.82,0.12,11.92
1.14,-0.04,12.08
1.33,0.43,10.20
0.98,0.47,11.61
1.06,0.31,11.73
1.18,0.39,10.71
1.18,0.39,11.06
1.06,0.24,11.26
1.06,0.20,11.61
1.22,0.20,11.45
1.06,0.39,11.10
1.18,0.24,11.10
1.14,0.35,11.22
1.14,0.20,11.18
1.10,0.16,11.49
1.10,0.27,11.30
1.10,0.20,11.57
1.14,0.12,11.38
1.10,0.27,11.30
1.14,0.16,11.41
1.06,0.35,11.38
1.06,0.35,11.34
1.02,0.12,11.77
1.14,-0.16,11.49
1.10,0.51,11.06
1.14,0.39,10.87
1.10,0.24,11.10
1.18,0.47,10.87
0.98,0.31,11.45
1.10,0.31,11.45
1.10,0.04,11.65
1.10,0.47,10.90
1.26,0.43,11.06
1.10,0.31,11.10
1.14,0.24,11.34
1.10,0.12,11.69
1.06,0.24,11.22
1.22,0.35,11.14
1.06,0.31,11.30
1.18,0.27,11.22
1.14,0.31,11.26
1.22,-0.20,12.28
1.14,0.35,11.06
1.18,0.24,11.30
1.06,0.00,11.69
1.10,0.35,11.49
1.02,0.39,10.94
1.14,-0.08,11.69
1.14,0.35,11.41
1.14,0.43,11.14
1.18,0.35,10.98
1.06,0.27,11.10
1.02,0.27,11.34
1.22,0.51,11.10
1.10,0.24,11.34
1.14,0.24,11.38
1.14,0.35,11.49
1.10,0.24,11.22
1.14,0.27,11.45
1.10,0.24,11.30
1.10,0.31,11.41
1.10,0.43,11.26
1.14,0.24,11.38
