0.59,11.26
0.16,0.31,11.34
-0.27,0.75,10.36
0.20,0.63,10.32
0.12,0.27,12.63
0.24,0.00,11.81
-0.04,0.71,11.85
0.04,0.90,11.45
0.12,1.18,8.75
0.04,-0.51,12.75
0.20,0.86,9.96
0.04,0.20,14.20
0.20,0.12,11.57
0.04,0.82,11.26
0.27,0.67,10.75
0.24,0.16,12.16
0.08,0.94,10.71
0.20,0.59,11.85
0.16,0.24,11.81
0.16,0.78,10.94
0.20,0.47,11.65
0.12,0.27,11.61
0.16,-0.39,15.26
-0.04,0.67,11.61
-0.75,1.10,12.55
-0.12,-0.35,11.49
0.39,1.02,9.65
0.51,0.78,9.14
0.31,0.78,11.45
0.35,0.59,9.69
-0.55,0.43,12.04
0.12,0.08,11.81
-0.27,0.27,12.00
-0.08,0.08,11.61
0.20,0.75,11.06
0.27,0.67,11.10
0.16,0.24,11.85
0.08,0.31,11.02
0.31,0.43,11.53
0.31,0.47,11.06
0.12,0.27,11.61
-0.39,0.39,12.00
0.16,0.63,12.32
0.39,0.04,9.96
-0.12,0.12,12.28
0.00,0.39,10.47
0.00,0.94,10.32
-0.51,0.27,13.22
0.31,0.75,11.22
0.51,0.39,10.67
0.16,0.98,10.75
0.20,0.20,11.41
0.27,0.20,11.41
0.12,0.82,10.83
0.43,0.59,11.49
0.12,0.43,11.49
0.00,0.20,11.69
0.27,0.86,11.22
0.12,0.31,11.65
0.35,0.63,10.90
0.12,0.27,11.26
0.16,0.55,11.06
-0.12,0.04,11.73
-0.16,0.63,12.36
0.59,0.24,10.51
-0.31,0.35,12.67
0.20,1.14,8.47
-0.20,-0.12,13.69
-0.27,1.41,10.90
0.39,0.59,8.59
-0.20,0.16,13.02
0.43,0.47,11.53
0.20,0.24,12.04
0.04,0.55,11.53
0.12,0.55,11.69
0.16,0.55,11.10
-0.12,0.51,11.26
0.12,0.24,11.41
0.24,0.63,10.98
0.12,0.24,11.06
0.24,0.71,11.18
0.16,0.67,11.18
0.24,0.27,11.96
0.35,2.63,4.43
0.08,0.55,12.08
0.16,0.90,10.55
0.63,0.71,12.71
0.47,0.75,9.92
-0.16,0.63,12.43
-0.24,0.94,11.18
0.08,0.78,11.10
0.08,0.20,11.38
0.20,0.67,10.67
0.12,0.63,11.14
0.16,-0.08,11.41
0.04,0.24,11.34
0.27,0.55,11.41
0.20,0.63,11.26
0.00,0.35,11.26
-0.04,0.39,11.30
0.20,0.27,11.30
0.24,0.12,11.45
-1.26,-0.27,16.63
0.35,0.55,10.00
0.20,0.20,11.41
0.31,1.10,10.55
0.39,0.24,11.89
0.00,0.78,10.87
-0.08,0.43,11.92
0.39,0.51,10.94
-0.04,0.43,11.92
0.12,0.31,11.06
0.16,0.31,11.26
0.04,0.78,11.26
0.12,0.39,11.41
0.04,0.31,11.22
0.16,0.59,11.38
0.08,0.47,11.26
0.35,0.55,11.26
0.20,0.47,11.34
