43,13.26
-0.24,0.59,11.96
-0.04,0.98,11.49
0.00,0.24,10.67
0.51,0.75,10.59
-0.24,0.31,12.28
0.04,0.31,11.45
0.20,0.55,11.49
0.35,0.59,11.02
0.27,0.24,11.53
0.08,0.67,11.57
0.24,0.47,11.26
0.08,0.43,11.30
0.24,0.43,11.14
0.24,0.55,11.26
0.12,0.35,11.45
0.08,0.39,11.34
0.12,0.51,11.34
0.08,0.43,11.49
0.08,0.27,11.34
0.12,0.43,11.30
-0.08,0.71,11.96
0.08,0.43,11.53
0.12,0.39,11.61
0.47,0.47,11.61
0.39,0.63,10.87
-0.04,0.35,11.61
0.20,0.16,11.77
-0.20,0.55,11.89
0.31,0.82,10.83
0.31,0.63,11.53
0.04,0.31,10.94
0.27,0.35,11.30
0.16,0.71,11.30
0.12,0.59,11.26
0.24,0.39,11.26
0.24,0.43,11.41
0.27,0.43,11.38
0.08,0.27,11.61
0.08,0.47,11.53
0.47,0.43,10.32
0.39,0.55,11.14
0.16,0.12,11.34
0.04,-0.27,10.79
0.12,0.59,10.36
0.24,0.24,9.41
0.51,0.59,12.43
0.16,0.04,10.90
0.43,0.51,12.28
-0.08,0.35,12.00
0.24,1.18,10.75
0.16,0.78,10.75
0.20,0.78,10.90
0.24,0.35,11.10
0.08,0.51,11.30
0.24,0.35,11.06
0.08,0.20,11.61
0.63,0.27,10.90
0.16,0.67,11.02
0.31,0.67,11.85
0.27,0.75,11.81
-0.20,0.90,11.77
0.20,0.31,11.61
0.20,0.63,12.08
0.31,0.39,11.30
0.04,0.47,11.10
0.08,0.67,10.36
0.04,0.51,11.30
0.04,0.12,11.38
0.12,0.47,11.02
0.31,0.86,11.30
0.35,0.20,11.34
-0.08,0.55,11.53
0.08,0.20,11.69
0.31,1.26,10.59
0.16,0.20,11.34
0.08,0.31,11.34
0.04,0.43,11.26
0.12,0.55,11.45
0.16,0.47,11.18
0.20,0.39,11.18
0.51,1.14,8.98
0.39,0.12,13.77
0.51,0.47,11.22
0.24,0.04,11.53
0.16,0.39,10.51
0.16,0.55,11.49
0.20,0.67,11.92
0.08,0.08,11.61
-0.08,0.82,11.22
0.16,0.67,11.41
0.12,0.51,11.34
0.16,0.55,11.10
0.04,0.43,11.41
0.31,0.47,11.26
0.24,0.31,11.45
0.20,0.75,11.10
-0.20,0.20,11.57
0.27,0.39,11.49
0.12,0.51,11.41
-0.16,0.31,11.65
0.75,-0.94,13.89
0.24,1.65,10.71
-0.47,-0.04,14.40
0.20,0.31,10.63
0.20,0.63,11.41
0.39,0.98,10.47
-0.27,0.24,11.45
0.04,0.51,11.10
0.27,0.94,11.22
0.27,0.43,11.22
0.08,0.90,11.22
0.08,0.24,11.65
0.31,0.39,11.41
0.08,0.67,10.83
0.31,0.55,11.22
0.24,0.43,11.22
0.00,0.35,11.57
0.16,0.71,11.14
0.20,0.35,10.28
